it,temp,actualQ,bestQ,p
4740000,26.8775,4161.65,4340.14,0
4750000,26.8203,4158.36,4340.14,0
4760000,26.7631,4152.36,4340.14,2.12
4770000,26.7058,4159.36,4340.14,0.01
4780000,26.6486,4142.36,4340.14,0.01
4790000,26.5914,4153.65,4340.14,0.01
4800000,26.5342,4152.65,4340.14,0
4810000,26.477,4162.65,4340.14,4.54
4820000,26.4197,4163.65,4340.14,0.01
4830000,26.3625,4168.65,4340.14,0
4840000,26.3053,4157.36,4340.14,0
4850000,26.2481,4158.65,4340.14,0.01
4860000,26.1909,4162.65,4340.14,0.01
4870000,26.1336,4163.65,4340.14,0.01
4880000,26.0764,4165.65,4340.14,0.07
4890000,26.0192,4164.65,4340.14,0.01
4900000,25.962,4165.65,4340.14,0.01
4910000,25.9048,4167.65,4340.14,0.01
4920000,25.8475,4161.65,4340.14,1
4930000,25.7903,4167.65,4340.14,1
4940000,25.7331,4165.65,4340.14,2.18
4950000,25.6759,4158.65,4340.14,0.01
4960000,25.6187,4166.65,4340.14,0
4970000,25.5614,4148.65,4340.14,0.01
4980000,25.5042,4165.65,4340.14,0.01
4990000,25.447,4162.65,4340.14,0.07
5000000,25.3898,4164.65,4340.14,0.01
5010000,25.3326,4168.65,4340.14,0
5020000,25.2753,4162.65,4340.14,0.01
5030000,25.2181,4165.65,4340.14,0.01
5040000,25.1609,4150.65,4340.14,0.68
5050000,25.1037,4160.65,4340.14,0.01
5060000,25.0464,4161.65,4340.14,0.01
5070000,24.9892,4158.65,4340.14,1
5080000,24.932,4159.65,4340.14,0.01
5090000,24.8748,4149.65,4340.14,0.67
5100000,24.8176,4160.65,4340.14,0.01
5110000,24.7603,4167.65,4340.14,0.01
5120000,24.7031,4150.36,4340.14,0
5130000,24.6459,4142.65,4340.14,0
5140000,24.5887,4161.65,4340.14,0.01
5150000,24.5315,4157.65,4340.14,0
5160000,24.4742,4167.65,4340.14,1
5170000,24.417,4165.65,4340.14,0.01
5180000,24.3598,4159.65,4340.14,1
5190000,24.3026,4162.65,4340.14,0.01
5200000,24.2454,4165.65,4340.14,0.01
5210000,24.1881,4166.65,4340.14,0.01
5220000,24.1309,4161.65,4340.14,0
5230000,24.0737,4169.65,4340.14,0.01
5240000,24.0165,4166.65,4340.14,0.13
5250000,23.9593,4167.65,4340.14,1
5260000,23.902,4166.65,4340.14,0.03
5270000,23.8448,4163.65,4340.14,0.66
5280000,23.7876,4154.65,4340.14,0.01
5290000,23.7304,4165.65,4340.14,1
5300000,23.6732,4168.65,4340.14,1
5310000,23.6159,4156.65,4340.14,0.01
5320000,23.5587,4167.65,4340.14,1
5330000,23.5015,4165.65,4340.14,0.01
5340000,23.4443,4166.65,4340.14,0.01
5350000,23.3871,4169.65,4340.14,0.01
5360000,23.3298,4159.65,4340.14,0
5370000,23.2726,4168.65,4340.14,1
5380000,23.2154,4164.65,4340.14,0
5390000,23.1582,4163.65,4340.14,1
5400000,23.101,4169.65,4340.14,0.04
5410000,23.0437,4153.65,4340.14,0.01
5420000,22.9865,4166.65,4340.14,0.01
5430000,22.9293,4167.65,4340.14,1
5440000,22.8721,4165.65,4340.14,0.01
5450000,22.8149,4167.65,4340.14,0
5460000,22.7576,4150.65,4340.14,0
5470000,22.7004,4166.65,4340.14,0.01
5480000,22.6432,4167.65,4340.14,1
5490000,22.586,4163.65,4340.14,1
5500000,22.5287,4166.65,4340.14,0
5510000,22.4715,4166.65,4340.14,0
5520000,22.4143,4162.65,4340.14,0.01
5530000,22.3571,4145.65,4340.14,0
5540000,22.2999,4158.65,4340.14,0.01
5550000,22.2426,4160.65,4340.14,0.01
5560000,22.1854,4154.65,4340.14,0.01
5570000,22.1282,4164.65,4340.14,0.01
5580000,22.071,4160.65,4340.14,0
5590000,22.0138,4167.65,4340.14,1
5600000,21.9565,4160.65,4340.14,0.01
5610000,21.8993,4157.65,4340.14,0.01
5620000,21.8421,4154.65,4340.14,0.01
5630000,21.7849,4168.65,4340.14,0
5640000,21.7277,4149.36,4340.14,1
5650000,21.6704,4161.36,4340.14,0.01
5660000,21.6132,4157.36,4340.14,0.01
